Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Glenroy,0.061572568,0.57662552,0.285714286,0.098039216,0.368421053
Gowanbrae,0.032351499,0.745559999,0,0,0
Greensborough,0.11398779,0.733221306,0.464285714,0.215686275,0.368421053
Greenvale - Bulla,0.181498151,0.823162134,0.142857143,0.019607843,0.157894737
Hadfield,0.015607593,0.525640015,0,0.019607843,0.052631579
Hallam,0.119881021,0.575563105,0.178571429,0.058823529,0.105263158
Hampton Park - Lynbrook,0.284412459,0.575891788,0.357142857,0.058823529,0.421052632
Hastings - Somers,0.245265363,0.554947812,0.178571429,0.039215686,0.263157895
Hawthorn,0.063978878,0.834030569,0.25,0.058823529,0.368421053
Hawthorn East,0.168954146,0.864399371,0.285714286,0.058823529,0.263157895
Healesville - Yarra Glen,0.152733835,0.596139118,0,0.039215686,0.315789474
Heidelberg - Rosanna,0.041152355,0.755773569,0.392857143,0.176470588,0.421052632
Heidelberg West,0.078806649,0.571166796,0.25,0.039215686,0.052631579
Hillside,0.22521278,0.763024238,0.25,0.019607843,0.105263158
Hoppers Crossing,0.143710173,0.626253503,0.571428571,0.058823529,0.473684211
Hughesdale,0.042088142,0.748919669,0.178571429,0.019607843,0.105263158
Ivanhoe East - Eaglemont,0.085680228,0.988053704,0.035714286,0.039215686,0.105263158
Keilor,0.047368656,0.711519022,0.25,0.039215686,0.157894737
Keilor Downs,0.146929727,0.630577528,0.285714286,0.019607843,0.210526316
Keilor East,0.14564859,0.667064665,0.071428571,0.039215686,0.210526316
Kensington,0.120449178,0.813328282,0.178571429,0.019607843,0.157894737
Kew,0.137716679,0.935221529,0.428571429,0.058823529,0.631578947
Kew East,0.072556927,0.90232825,0.214285714,0,0.157894737
Keysborough,0.289425605,0.690152674,0.464285714,0,0.315789474
Kilsyth,0.102245889,0.598705842,0.178571429,0.019607843,0.210526316
Kinglake,0.042823404,0.632814823,0,0,0.052631579
Kings Park,0.154081815,0.501002664,0,0,0.105263158
Kingsbury,0.126197585,0.693613181,0.107142857,0.019607843,0.105263158
Knoxfield - Scoresby,0.168085201,0.688426944,0.214285714,0.039215686,0.315789474
Koo Wee Rup,0.08334076,0.601587801,0.071428571,0,0.157894737
Lalor,0.04234437,0.52710783,0.321428571,0.117647059,0.368421053
Langwarrin,0.265540751,0.682251942,0.464285714,0.098039216,0.263157895
Laverton,0.099226862,0.694384847,0.035714286,0.019607843,0.210526316
Lilydale - Coldstream,0.208557997,0.644839581,0.428571429,0.196078431,0.421052632
Lynbrook - Lyndhurst,0.169600285,0.778373727,0.035714286,0.019607843,0.052631579
Lysterfield,0.073303329,0.930302472,0,0,0.052631579
Macedon,0.037665434,0.836695429,0.035714286,0.058823529,0.105263158
Malvern - Glen Iris,0.111637182,0.906848052,0.178571429,0.31372549,0.157894737
Malvern East,0.237522838,0.893285842,0.178571429,0.019607843,0.315789474
Maribyrnong,0.068045096,0.768671924,0.321428571,0.039215686,0.105263158
Meadow Heights,0.05511118,0.489447213,0.214285714,0.019607843,0.105263158
