Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Endeavour Hills,0.250705009,0.656789195,0.285714286,0.017241379,0.642857143
Epping,0.321583191,0.613338726,0.571428571,0.103448276,0.714285714
Essendon - Aberfeldie,0.272947531,0.796915445,0.476190476,0.137931034,0.714285714
Essendon Airport,0,0,0.047619048,0,0
Fawkner,0.273424157,0.530405337,0.285714286,0,0.357142857
Ferntree Gully,0.566211225,0.644221852,0.333333333,0.068965517,0.571428571
Fitzroy,0.041486277,0.782320421,0.285714286,0.017241379,0.214285714
Fitzroy North,0.030623188,0.823561293,0.333333333,0,0.285714286
Flemington,0.200877785,0.636643417,0.19047619,0,0.285714286
Flemington Racecourse,0.001688049,0.719855652,0.047619048,0,0
Flinders,0.106625094,0.76723743,0,0,0
Forest Hill,0.211025936,0.647188588,0.285714286,0,0.071428571
Frankston,0.448226556,0.524335312,0.571428571,0.603448276,1
Frankston North,0.076617548,0.489288169,0.238095238,0,0.214285714
Frankston South,0.030126703,0.718815414,0.238095238,0,0.214285714
Gisborne,0.254815903,0.790805478,0.238095238,0.017241379,0.214285714
Gladstone Park - Westmeadows,0.058287326,0.626422318,0.285714286,0.051724138,0.357142857
Glen Iris,0.324224491,1,0,0,0
Glen Waverley,0.200222425,0.731094665,0.285714286,0.137931034,0.928571429
Glenroy,0.439031656,0.57662552,0.285714286,0.086206897,0.571428571
Gowanbrae,0.057671684,0.745559999,0,0,0
Greensborough,0.40638281,0.733221306,0.523809524,0.206896552,0.5
Greenvale - Bulla,0.323549271,0.823162134,0.19047619,0.051724138,0.214285714
Hadfield,0.111292052,0.525640015,0,0.034482759,0.142857143
Hallam,0.213706955,0.575563105,0.238095238,0.051724138,0.142857143
Hampton Park - Lynbrook,0.08573301,0.712168602,0.80952381,0.137931034,0.785714286
Hastings - Somers,0.218612225,0.554947812,0.142857143,0.034482759,0.357142857
Hawthorn,0.152083251,0.834030569,0.285714286,0.051724138,0.5
Hawthorn East,0.037653414,0.864399371,0.333333333,0.068965517,0.357142857
Healesville - Yarra Glen,0.272272312,0.596139118,0,0.034482759,0.428571429
Heidelberg - Rosanna,0.293422568,0.755773569,0.380952381,0.206896552,0.571428571
Heidelberg West,0.140485364,0.571166796,0.333333333,0.034482759,0.071428571
Hillside,0.401477539,0.763024238,0.333333333,0.051724138,0.142857143
Hoppers Crossing,0.768578464,0.626253503,0.714285714,0.068965517,0.642857143
Hughesdale,0.150057592,0.748919669,0.238095238,0.017241379,0.142857143
Hurstbridge,0.068514914,0.731823678,0,0,0.142857143
Ivanhoe East - Eaglemont,0.075783453,0.901303444,0.285714286,0.120689655,0.428571429
Keilor,0.08444215,0.711519022,0.285714286,0.034482759,0.214285714
Keilor Downs,0.130952854,0.630577528,0.285714286,0,0.285714286
Keilor East,0.103844779,0.667064665,0.095238095,0.017241379,0.285714286
Kensington,0.214719784,0.813328282,0.19047619,0.051724138,0.214285714
Kew,0.491023553,0.935221529,0.571428571,0.051724138,0.857142857
Kew East,0.021567303,0.90232825,0.19047619,0,0.214285714
Keysborough,0.515947095,0.690152674,0.523809524,0,0.571428571
Kilsyth,0.182269532,0.598705842,0.095238095,0.017241379,0.285714286
Kinglake,0.076339516,0.632814823,0,0,0.071428571
Kings Park,0.039242165,0.501002664,0,0,0.142857143
Kingsbury,0.224967232,0.693613181,0.142857143,0,0.142857143
Knoxfield - Scoresby,0.299638559,0.688426944,0.19047619,0.017241379,0.428571429
Koo Wee Rup,0.148568138,0.601587801,0.095238095,0,0.214285714
Lalor,0.452953092,0.52710783,0.428571429,0.103448276,0.5
Langwarrin,0.473368551,0.682251942,0.619047619,0,0.357142857
Laverton,0.176887636,0.694384847,0.047619048,0.017241379,0.285714286
Lilydale - Coldstream,0.371787743,0.644839581,0.571428571,0.172413793,0.571428571
Lynbrook - Lyndhurst,0.302339437,0.778373727,0.047619048,0.017241379,0.071428571
Lysterfield,0.130674822,0.930302472,0,0,0.071428571
Macedon,0.067144616,0.836695429,0.047619048,0.034482759,0.142857143
Malvern - Glen Iris,0.132680621,0.906848052,0.904761905,0.137931034,0.642857143
Malvern East,0.060491719,0.893285842,0.238095238,0.017241379,0.428571429
Maribyrnong,0.242602375,0.768671924,0.428571429,0.034482759,0.142857143
Meadow Heights,0.294753148,0.489447213,0.285714286,0.017241379,0.142857143
Melbourne,0.006454304,0.620324686,0.428571429,1,0.5
Melbourne Airport,3.97E-05,0.901494449,0.047619048,0,0
Melton,0.375461731,0.542814326,0.380952381,0.24137931,0.642857143
Melton South,0.042320372,0.593825725,0.428571429,0,0.428571429
Melton West,0.174286055,0.618837757,0.238095238,0.017241379,0.214285714
Mentone,0.085832307,0.706761038,0.285714286,0.068965517,0.571428571
Mernda,0.326845931,0.686493403,0.380952381,0,0.285714286
Mickleham - Yuroke,0.067224054,0.752711754,0.142857143,0,0.142857143
Mill Park,0.098343726,0.660293459,0.285714286,0.086206897,0.428571429
Mitcham,0.320689518,0.728853425,0.333333333,0.103448276,0.357142857
Monbulk - Silvan,0.111848115,0.667166469,0,0.051724138,0.357142857
Montmorency - Briar Hill,0.31965683,0.741664343,0,0.034482759,0.428571429
Montrose,0.135103467,0.710439274,0.095238095,0,0.142857143
Moonee Ponds,0.282996386,0.80716974,0.19047619,0.068965517,0.214285714
Moorabbin - Heatherton,0.174822258,0.719660141,0.380952381,0.051724138,0.285714286
Moorabbin Airport,0,0,0.047619048,0,0
Mooroolbark,0.438018827,0.682351195,0.476190476,0.103448276,0.714285714
Mordialloc - Parkdale,0.39553958,0.751416225,0.238095238,0.051724138,0.428571429
Mornington,0.476407038,0.591573258,0.904761905,0.275862069,0.5
Mount Dandenong - Olinda,0.080192239,0.552924206,0.476190476,0.517241379,0.785714286
Mount Eliza,0.177622433,0.861926916,0.285714286,0.034482759,0.357142857
Mount Evelyn,0.096337927,0.687034205,0.285714286,0.051724138,0.357142857
Mount Martha,0.184176034,0.743502562,0.095238095,0.034482759,0.142857143
