Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Endeavour Hills,0.129623165,0.656789195,0.285714286,0.017241379,0.642857143
Epping,0.083129685,0.613338726,0.571428571,0.103448276,0.714285714
Essendon - Aberfeldie,0.094075367,0.796915445,0.476190476,0.137931034,0.714285714
Essendon Airport,0,0,0.047619048,0,0
Fawkner,0.070684875,0.530405337,0.285714286,0,0.357142857
Ferntree Gully,0.292761064,0.644221852,0.333333333,0.068965517,0.571428571
Fitzroy,0.013410001,0.782320421,0.285714286,0.017241379,0.214285714
Fitzroy North,0.008440292,0.823561293,0.333333333,0,0.285714286
Flemington,0.103871034,0.636643417,0.19047619,0,0.285714286
Flemington Racecourse,0.000862512,0.719855652,0.047619048,0,0
Flinders,0.022055653,0.76723743,0,0,0
Forest Hill,0.043638977,0.647188588,0.285714286,0,0.071428571
Frankston,0.154492248,0.524335312,0.571428571,0.603448276,1
Frankston North,0.016510935,0.489288169,0.238095238,0,0.214285714
Frankston South,0.013348393,0.718815414,0.238095238,0,0.214285714
Gisborne,0.263497279,0.790805478,0.238095238,0.017241379,0.214285714
Gladstone Park - Westmeadows,0.021275285,0.626422318,0.285714286,0.051724138,0.357142857
Glen Iris,0.335270562,1,0,0,0
Glen Waverley,0.075284937,0.731094665,0.285714286,0.137931034,0.928571429
Glenroy,0.113502413,0.57662552,0.285714286,0.086206897,0.571428571
Gowanbrae,0.059636513,0.745559999,0,0,0
Greensborough,0.210124243,0.733221306,0.523809524,0.206896552,0.5
Greenvale - Bulla,0.334572338,0.823162134,0.19047619,0.051724138,0.214285714
Hadfield,0.028770921,0.525640015,0,0.034482759,0.142857143
Hallam,0.110483623,0.575563105,0.238095238,0.051724138,0.142857143
Hampton Park - Lynbrook,0.040291611,0.712168602,0.80952381,0.137931034,0.785714286
Hastings - Somers,0.041092515,0.554947812,0.142857143,0.034482759,0.357142857
Hawthorn,0.052428381,0.834030569,0.285714286,0.051724138,0.5
Hawthorn East,0.012978745,0.864399371,0.333333333,0.068965517,0.357142857
Healesville - Yarra Glen,0.281548414,0.596139118,0,0.034482759,0.428571429
Heidelberg - Rosanna,0.060683848,0.755773569,0.380952381,0.206896552,0.571428571
Heidelberg West,0.041503234,0.571166796,0.333333333,0.034482759,0.071428571
Hillside,0.41515556,0.763024238,0.333333333,0.051724138,0.142857143
Hoppers Crossing,0.264914262,0.626253503,0.714285714,0.068965517,0.642857143
Hughesdale,0.051730157,0.748919669,0.238095238,0.017241379,0.142857143
Hurstbridge,0.070849163,0.731823678,0,0,0.142857143
Ivanhoe East - Eaglemont,0.026121778,0.901303444,0.285714286,0.120689655,0.428571429
Keilor,0.05821953,0.711519022,0.285714286,0.034482759,0.214285714
Keilor Downs,0.090276209,0.630577528,0.285714286,0,0.285714286
Keilor East,0.038361228,0.667064665,0.095238095,0.017241379,0.285714286
Kensington,0.222035117,0.813328282,0.19047619,0.051724138,0.214285714
Kew,0.2538659,0.935221529,0.571428571,0.051724138,0.857142857
Kew East,0.007865284,0.90232825,0.19047619,0,0.214285714
Keysborough,0.533525003,0.690152674,0.523809524,0,0.571428571
Kilsyth,0.18847931,0.598705842,0.095238095,0.017241379,0.285714286
Kinglake,0.078940343,0.632814823,0,0,0.071428571
Kings Park,0.0149502,0.501002664,0,0,0.142857143
Kingsbury,0.232631687,0.693613181,0.142857143,0,0.142857143
Knoxfield - Scoresby,0.309847007,0.688426944,0.19047619,0.017241379,0.428571429
Koo Wee Rup,0.153629736,0.601587801,0.095238095,0,0.214285714
Lalor,0.078057295,0.52710783,0.428571429,0.103448276,0.5
Langwarrin,0.489495841,0.682251942,0.619047619,0,0.357142857
Laverton,0.182914057,0.694384847,0.047619048,0.017241379,0.285714286
Lilydale - Coldstream,0.384454256,0.644839581,0.571428571,0.172413793,0.571428571
Lynbrook - Lyndhurst,0.312639901,0.778373727,0.047619048,0.017241379,0.071428571
Lysterfield,0.13512681,0.930302472,0,0,0.071428571
Macedon,0.06943218,0.836695429,0.047619048,0.034482759,0.142857143
Malvern - Glen Iris,0.045733648,0.906848052,0.904761905,0.137931034,0.642857143
Malvern East,0.027374474,0.893285842,0.238095238,0.017241379,0.428571429
Maribyrnong,0.125433823,0.768671924,0.428571429,0.034482759,0.142857143
Meadow Heights,0.07618852,0.489447213,0.285714286,0.017241379,0.142857143
Melbourne,0.001971455,0.620324686,0.428571429,1,0.5
Melbourne Airport,0.003717014,0.901494449,0.047619048,0,0
Melton,0.388253414,0.542814326,0.380952381,0.24137931,0.642857143
Melton South,0.018502926,0.593825725,0.428571429,0,0.428571429
Melton West,0.072081323,0.618837757,0.238095238,0.017241379,0.214285714
Mentone,0.026614642,0.706761038,0.285714286,0.068965517,0.571428571
Mernda,0.168990656,0.686493403,0.380952381,0,0.285714286
Mickleham - Yuroke,0.034746894,0.752711754,0.142857143,0,0.142857143
Mill Park,0.035896909,0.660293459,0.285714286,0.086206897,0.428571429
Mitcham,0.110545231,0.728853425,0.333333333,0.103448276,0.357142857
Monbulk - Silvan,0.115658692,0.667166469,0,0.051724138,0.357142857
Montmorency - Briar Hill,0.330547284,0.741664343,0,0.034482759,0.428571429
Montrose,0.139706335,0.710439274,0.095238095,0,0.142857143
Moonee Ponds,0.097545949,0.80716974,0.19047619,0.068965517,0.214285714
Moorabbin - Heatherton,0.090399425,0.719660141,0.380952381,0.051724138,0.285714286
Moorabbin Airport,0,0,0.047619048,0,0
Mooroolbark,0.45294178,0.682351195,0.476190476,0.103448276,0.714285714
Mordialloc - Parkdale,0.204497382,0.751416225,0.238095238,0.051724138,0.428571429
Mornington,0.492637848,0.591573258,0.904761905,0.275862069,0.5
Mount Dandenong - Olinda,0.023698532,0.552924206,0.476190476,0.517241379,0.785714286
Mount Eliza,0.07347777,0.861926916,0.285714286,0.034482759,0.357142857
Mount Evelyn,0.039839819,0.687034205,0.285714286,0.051724138,0.357142857
Mount Martha,0.07618852,0.743502562,0.095238095,0.034482759,0.142857143
Mount Waverley,0.13804292,0.752331642,0.238095238,0.172413793,0.642857143
Mulgrave,0.397741041,0.696319259,0.333333333,0.068965517,0.357142857
Murrumbeena,0.047499743,0.75649783,0.238095238,0.086206897,0.142857143
Narre Warren,0.561761988,0.631881811,0,0.155172414,0.5
Narre Warren North,0.006920628,0.892892025,0.047619048,0.017241379,0.071428571
Narre Warren South,0.022753876,0.744864613,0.428571429,0.051724138,0.285714286
Newport,0.36098162,0.853126997,0.333333333,0.051724138,0.357142857
Niddrie,0.142170654,0.760452325,0,0.051724138,0.214285714
Noble Park,0.037519252,0.510242367,0.238095238,0,0.714285714
Noble Park North,0.00404559,0.556070197,0,0,0.142857143
North Melbourne,0.001108943,0.70830975,0.428571429,0.086206897,0.285714286
Northcote,0.084423452,0.808756447,0.476190476,0.103448276,0.428571429
Nunawading,0.243885409,0.695173711,0.238095238,0.034482759,0.214285714
Oakleigh - Huntingdale,0.437211213,0.694453528,0.285714286,0.068965517,0.214285714
Ormond - Glen Huntly,0.273929562,0.730447877,0,0,0.642857143
Pakenham,0.968148681,0.597711321,1,0.189655172,0.571428571
Panton Hill - St Andrews,0.105801417,0.792294817,0,0,0.142857143
Parkville,0.152151145,0.75737188,0.380952381,0,0.071428571
Pascoe Vale,0.048156895,0.686171173,0.285714286,0.017241379,0.357142857
Pascoe Vale South,0.005852757,0.778362387,0.380952381,0,0.142857143
Pearcedale - Tooradin,0.158969093,0.662266958,0.047619048,0.017241379,0.214285714
Plenty - Yarrambat,0.010391211,0.709487096,0.333333333,0.017241379,0.357142857
Point Cook,0.511448814,0.836000832,0.714285714,0.206896552,0.428571429
Point Nepean,0.08791457,0.541750504,0.19047619,0,0
Port Melbourne,0.000862512,0.90566326,0.380952381,0.068965517,0.142857143
Port Melbourne Industrial,0.000369648,0,0,0,0
Prahran - Windsor,0.080973406,0.805098658,0.380952381,0.017241379,0.142857143
Preston,0.060129377,0.650895327,0.428571429,0.172413793,0.642857143
Research - North Warrandyte,0.137714344,0.927516346,0.095238095,0.017241379,0.357142857
Reservoir,0.149953794,0.560069345,0.476190476,0.051724138,0.714285714
Richmond,0.125269535,0.851696164,0.285714286,0.017241379,0.5
Riddells Creek,0.082349317,0.772886529,0.047619048,0.017241379,0.071428571
Ringwood,0.117383715,0.621924498,0.238095238,0.293103448,0.5
Ringwood East,0.023123524,0.703352523,0.285714286,0.068965517,0.214285714
Ringwood North,0.008152788,0.801821206,0.428571429,0,0.214285714
Rockbank - Mount Cottrell,0.062429408,0.526223967,0,0,0.071428571
Romsey,0.19221686,0.688335445,0.095238095,0.017241379,0.071428571
Rosebud - McCrae,0.430085224,0.465456053,0.238095238,0.103448276,0.285714286
Rowville,0.693972687,0.783486095,0.380952381,0.086206897,0.428571429
Roxburgh Park - Somerton,0.026347674,0.611162867,0.238095238,0.034482759,0.357142857
Sandringham - Black Rock,0.33896704,0.901261569,0.142857143,0.034482759,0.428571429
Seabrook,0.105226409,0.707749088,0,0,0.071428571
Seaford,0.056350755,0.559591906,0.333333333,0.051724138,0.571428571
Seddon - Kingsville,0.189649861,0.793072798,0.047619048,0.034482759,0.071428571
Skye - Sandhurst,0.268549132,0.782043553,0,0,0.071428571
Somerville,0.371475511,0.657880869,0.333333333,0.086206897,0.285714286
South Melbourne,0.00061608,0.821294342,0.523809524,0.086206897,0.071428571
South Morang,0.019755622,0.710842803,0.238095238,0.051724138,0.214285714
South Yarra,0.022035117,0.811130106,0.047619048,0.068965517,0.357142857
Southbank,0.383386385,0.830111103,0.095238095,0,0.142857143
Springvale,0.11177739,0.523437996,0.428571429,0.120689655,0.571428571
Springvale South,0.008953691,0.560568853,0.476190476,0,0.285714286
St Albans,0.051093541,0.487839816,0.333333333,0.155172414,1
St Kilda,0.033535271,0.723110963,0.238095238,0.068965517,0.214285714
St Kilda East,0.012958209,0.727840943,0.285714286,0,0.428571429
Strathmore,0.193613307,0.858100207,0,0.017241379,0.285714286
Sunbury,0.202115207,0.678966151,0.523809524,0.120689655,0.928571429
Sunshine,0.025074443,0.577191668,0.238095238,0.206896552,0.5
Sunshine North,0.010021563,0.532155694,0.238095238,0.034482759,0.357142857
Sunshine West,0.042406818,0.538352129,0.333333333,0,0.285714286
Surrey Hills,0.269883972,0.951763454,0.142857143,0,0.285714286
Sydenham,0.246616696,0.654948255,0.285714286,0,0.214285714
Tarneit,0.357161926,0.708979148,0.666666667,0.068965517,0.642857143
Taylors Hill,0.06579731,0.769623933,0.19047619,0,0.142857143
Taylors Lakes,0.118698018,0.780296976,0.380952381,0.051724138,0.142857143
Templestowe,0.170633535,0.840907642,0.476190476,0.017241379,0.214285714
Templestowe Lower,0.139624191,0.734942427,0.476190476,0,0.214285714
The Basin,0.08770921,0.706598011,0,0,0.214285714
Thomastown,0.417106479,0.499358691,0.523809524,0.103448276,0.428571429
Thornbury,0.189608789,0.700887685,0.571428571,0.103448276,0.428571429
Toorak,0.066988397,0.975211813,0.238095238,0.086206897,0.285714286
Truganina,0.480788582,0.716955909,0.380952381,0,0.357142857
Tullamarine,0.044213985,0.547389694,0.238095238,0.034482759,0.071428571
Upwey - Tecoma,0.197350857,0.725245127,0.19047619,0.034482759,0.285714286
Vermont,0.1072184,0.720395951,0.238095238,0,0.285714286
Vermont South,0.008892083,0.751266816,0.333333333,0.017241379,0.357142857
Viewbank - Yallambie,0.375870213,0.727570923,0.285714286,0,0.142857143
Wallan,0.333073211,0.687501753,0.285714286,0.017241379,0.142857143
Wandin - Seville,0.156094055,0.692511116,0,0.017241379,0.071428571
