Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Point Cook,0.025221692,0.836000832,0.535714286,0.235294118,0.315789474
Point Nepean,0.017345484,0.541750504,0.142857143,0.058823529,0
Port Melbourne,0.010004011,0.90566326,0.285714286,0.039215686,0.105263158
Port Melbourne Industrial,6.68E-05,0,0,0,0
Prahran - Windsor,0.007085246,0.805098658,0.357142857,0.019607843,0.105263158
Preston,0.014348737,0.650895327,0.321428571,0.196078431,0.421052632
Research - North Warrandyte,0.037353505,0.927516346,0.071428571,0,0.263157895
Reservoir,0.063265897,0.560069345,0.357142857,0.058823529,0.526315789
Richmond,0.028318702,0.851696164,0.214285714,0.039215686,0.368421053
Riddells Creek,0.044672697,0.772886529,0.035714286,0.019607843,0.052631579
Ringwood,0.01273339,0.621924498,0.178571429,0.333333333,0.368421053
Ringwood East,0.022570295,0.703352523,0.214285714,0.098039216,0.157894737
Ringwood North,0.010605588,0.801821206,0.357142857,0,0.157894737
Rockbank - Mount Cottrell,0.033866583,0.526223967,0,0,0.052631579
Romsey,0.104273428,0.688335445,0.071428571,0.019607843,0.052631579
Rosebud - McCrae,0.015551892,0.465456053,0.214285714,0.156862745,0.210526316
Rowville,0.075297447,0.783486095,0.285714286,0.098039216,0.315789474
Roxburgh Park - Somerton,0.030379662,0.611162867,0.178571429,0.019607843,0.263157895
Sandringham - Black Rock,0.014148211,0.901261569,0.107142857,0.019607843,0.315789474
Seabrook,0.057083018,0.707749088,0,0,0.052631579
Seaford,0.026202041,0.559591906,0.321428571,0.058823529,0.421052632
Seddon - Kingsville,0.011429972,0.793072798,0.035714286,0,0.052631579
Skye - Sandhurst,0.145682011,0.782043553,0,0,0.052631579
Somerville,0.067176151,0.657880869,0.25,0.117647059,0.210526316
South Melbourne,0.018381534,0.821294342,0.464285714,0.098039216,0.052631579
South Morang,0.044672697,0.710842803,0.178571429,0,0.157894737
South Yarra,0.009959449,0.811130106,0.25,0.078431373,0.263157895
Southbank,0.10398378,0.830111103,0.071428571,0,0.052631579
Springvale,0.013479791,0.523437996,0.321428571,0.137254902,0.368421053
Springvale South,0.070451406,0.560568853,0.357142857,0,0.210526316
St Albans,0.020787844,0.487839816,0.25,0.176470588,0.684210526
St Kilda,0.032340359,0.723110963,0.25,0.078431373,0.157894737
St Kilda East,0.026124059,0.727840943,0.214285714,0.039215686,0.315789474
Strathmore,0.052515485,0.858100207,0,0.019607843,0.210526316
Sunbury,0.219297268,0.678966151,0.392857143,0.294117647,0.684210526
Sunshine,0.004946304,0.577191668,0.178571429,0.235294118,0.368421053
Sunshine North,0.018615481,0.532155694,0.285714286,0.039215686,0.263157895
Sunshine West,0.025878972,0.538352129,0.25,0,0.157894737
Surrey Hills,0.024397308,0.951763454,0.107142857,0.039215686,0.210526316
Sydenham,0.033443251,0.654948255,0.214285714,0,0.157894737
Tarneit,0.032295798,0.708979148,0.5,0.098039216,0.421052632
Taylors Hill,0.023795731,0.769623933,0.214285714,0.019607843,0.105263158
Taylors Lakes,0.032195535,0.780296976,0.285714286,0.058823529,0.105263158
Templestowe,0.061706252,0.840907642,0.357142857,0.019607843,0.157894737
Templestowe Lower,0.07574306,0.734942427,0.392857143,0,0.157894737
The Basin,0.015863821,0.706598011,0,0,0.157894737
Thomastown,0.02514371,0.499358691,0.392857143,0.117647059,0.315789474
Thornbury,0.018704603,0.700887685,0.464285714,0.019607843,0.315789474
Toorak,0.048460407,0.975211813,0.178571429,0.019607843,0.210526316
